Transportation and Logistics,On-Time Delivery Rate,%
Year,Oversized Loads,Emergency Shipments,E-Commerce Parcels,Same-Day Couriers,Automotive Parts
trend,volatile_falling,exponential_falling,volatile_rising,volatile_falling,stable_falling
2000,77.84,81.04,92.38,100,92.59
2001,84.51,61.4,100,97.52,98.96
2002,74.89,79.37,100,98.86,97.34
2003,61.19,72.96,100,90.07,94.7
2004,98.5,55.7,100,72.18,100
2005,67.4,46.48,100,46.99,100
2006,44.68,53.13,100,57.01,100
2007,59.57,46.36,100,60.49,100
2008,20.34,41.21,100,28.78,100
2009,39.46,39.57,100,54.96,100
2010,43.3,25.14,100,25.83,100
2011,45.64,36.25,100,27.58,100
2012,37.69,11.87,100,35.21,100
2013,6.04,22.67,100,44.56,100
2014,0.92,21.3,100,25.26,100
2015,24.31,30.23,100,13.07,100
2016,15.91,14.14,100,17.28,100
2017,0.92,5.3,100,0.92,100
2018,0.92,20.11,100,10.23,100
2019,3.72,13.32,100,0.92,100
2020,0.92,14.92,100,0.92,100
2021,0.92,12.24,100,0.92,100
2022,0.92,0.92,100,0.92,100
2023,0.92,17.51,100,0.92,100
2024,0.92,0.92,100,0.92,100
