Sports and Entertainment,Streaming Views,views/month
trend,stable_falling,volatile_falling,volatile_falling,stable_falling,stable_rising,volatile_rising
Year,AetherNet Sports,NovaStream Live,EchoWave Entertainment,StarburstTV,Luminara Play,CrimsonCast
2002,205199.54,195464.61,223389.24,183940.6,207690.05,215807.96
2003,198520.75,258011.36,262632.1,244115.86,249047.08,149439.73
2004,233793.96,199531.37,159330.43,295200.83,156239.85,240689.94
2005,188129.11,93696.27,134932.65,272092.8,229602.32,248892.12
2006,228284.03,200905.87,128675.84,202439.42,331194.65,263748.77
2007,237465.2,169360.2,155925.09,228158.3,233509.39,333606.64
2008,224131.41,121605.15,247610.87,196991.7,204327.06,188929.42
2009,211048.54,165568.73,157446.8,210716.5,186575.63,326822.25
