Food and Beverage Industry,Restaurant Sales,$
Year,Stellar Bistro,Sky High Cafe,The Rusty Kettle,Crimson Plate,The Cozy Nook,Emerald Diner
trend,stable_falling,volatile_rising,periodic_stable,exponential_falling,volatile_falling,volatile_falling
1974,86080931.45,115239065.35,105405564.19,95317707.59,121221064.29,132598239.15
1975,86348057.51,95495276.46,103639414.01,87333927.28,111285727.26,81031567.25
1976,106899119.46,115998769.86,95435451.65,70034628.87,85354665.53,86321645.49
1977,106292254.59,133088188.52,107798308.0,72672968.7,94643429.3,112257751.84
1978,97463998.07,120753475.84,103865716.8,70597024.99,36213961.66,114154592.11
1979,108624437.23,143448080.06,101295670.48,61057009.94,60505478.43,87209751.77
1980,141154866.07,159978519.32,101229695.93,49202177.91,68403598.92,41218526.13
1981,119115939.94,152516971.6,107389669.38,43545305.53,79371314.61,32143743.76
1982,121332690.83,172940860.13,101007934.51,36378783.77,45889244.71,44811941.56
1983,142234996.22,168721024.96,94004481.03,41810688.18,48188419.73,18869338.5
