Transportation and Logistics,Fuel Consumption,L/100km
Year,Cargo Ships,Drone Swarms,Cargo Planes,Delivery Vans,Long-Haul Trucks,Freight Trains
trend,volatile_rising,volatile_rising,exponential_rising,volatile_rising,volatile_rising,exponential_falling
1974,13.32,9.36,7.46,5.78,11.38,8.55
1975,8.8,10.09,10.33,10.15,8.21,6.57
1976,13.35,7.04,10.15,9.35,10.95,7.33
1977,12.88,11.92,9.33,8.98,11.45,5.88
1978,10.98,10.28,12.26,13.51,9.15,3.62
1979,9.91,14.11,12.17,6.75,10.32,5.28
1980,17.77,11.65,14.53,15.88,12.03,5.3
1981,13.95,12.73,17.3,7.76,13.32,3.23
1982,13.0,10.73,19.64,13.61,10.87,2.34
1983,13.07,18.18,19.97,14.83,14.9,1.35
1984,15.63,13.36,23.6,15.23,18.59,3.4
