Retail and Consumer Behavior,the Comparison of Retail and Consumer Behavior,linear,negative
Customer reviews count (count),Average transaction value ($)
1.0,494.81
223.2,279.09
445.4,500.0
667.6,228.57
889.8,169.64
1112.0,264.18
1334.2,292.7
1556.4,251.5
1778.6,319.82
2000.8,126.3
2223.0,284.61
2445.2,341.68
2667.4,198.71
2889.6,171.52
3111.8,375.25
3334.0,466.0
3556.2,305.05
3778.4,309.24
4000.6,289.35
4222.8,80.62
4445.0,367.62
4667.2,164.79
4889.4,337.86
5111.6,361.14
5333.8,294.68
5556.0,324.07
5778.2,336.44
6000.4,325.55
6222.6,341.26
6444.8,283.79
6667.0,363.71
6889.2,302.85
7111.4,190.27
7333.6,299.57
7555.8,361.81
7778.0,241.92
8000.2,185.97
8222.4,205.29
8444.6,10.0
8666.8,175.08
8889.0,159.29
9111.2,475.0
9333.4,389.65
9555.6,59.28
9777.8,138.25
10000.0,487.82
