Retail and Consumer Behavior,the Comparison of Retail and Consumer Behavior,linear,none
Product price ($),Return rate (%)
1.0,12.6
22.72,10.54
44.43,9.77
66.15,11.58
87.87,9.28
109.59,10.52
131.3,10.61
153.02,14.64
174.74,0.0
196.46,19.04
218.17,7.82
239.89,15.31
261.61,13.38
283.33,11.53
305.04,7.42
326.76,12.15
348.48,7.91
370.2,2.69
391.91,15.79
413.63,11.51
435.35,3.75
457.07,12.68
478.78,11.95
500.5,5.68
522.22,5.84
543.93,20.0
565.65,14.59
587.37,18.42
609.09,12.56
630.8,12.31
652.52,11.0
674.24,3.65
695.96,18.07
717.67,14.04
739.39,6.47
761.11,15.0
782.83,11.25
804.54,10.47
826.26,6.99
847.98,15.31
869.7,16.43
891.41,19.2
913.13,17.85
934.85,14.55
956.57,11.16
978.28,11.86
1000.0,16.55
