Technology and Innovation,the Dynamics of Technology and Innovation,u_shape,positive
R&D investment ($),Startup success rate (%)
100000.0,46.83
1318292.68,44.44
2536585.37,49.86
3754878.05,41.99
4973170.73,39.02
6191463.41,45.74
7409756.1,41.31
8628048.78,31.73
9846341.46,26.07
11064634.15,30.61
12282926.83,30.5
13501219.51,32.78
14719512.2,36.82
15937804.88,26.98
17156097.56,27.34
18374390.24,23.47
19592682.93,20.89
20810975.61,22.71
22029268.29,19.24
23247560.98,17.94
24465853.66,19.96
25684146.34,12.71
26902439.02,17.24
28120731.71,15.04
29339024.39,15.34
30557317.07,11.89
31775609.76,16.34
32993902.44,8.41
34212195.12,10.51
35430487.8,9.84
36648780.49,16.79
37867073.17,15.47
39085365.85,5.68
40303658.54,12.29
41521951.22,10.42
42740243.9,6.01
43958536.59,5.0
45176829.27,11.7
46395121.95,9.67
47613414.63,11.16
48831707.32,7.68
50050000.0,11.97
51268292.68,5.17
52486585.37,9.08
53704878.05,10.99
54923170.73,6.05
56141463.41,12.9
57359756.1,14.32
58578048.78,12.18
59796341.46,9.62
61014634.15,13.22
62232926.83,10.54
63451219.51,8.5
64669512.2,6.16
65887804.88,14.98
67106097.56,16.12
68324390.24,21.37
69542682.93,10.3
70760975.61,12.74
71979268.29,19.09
73197560.98,15.56
74415853.66,15.36
75634146.34,21.91
76852439.02,15.81
78070731.71,24.28
79289024.39,16.93
80507317.07,18.79
81725609.76,27.29
82943902.44,22.57
84162195.12,32.77
85380487.8,28.88
86598780.49,26.93
87817073.17,31.13
89035365.85,33.5
90253658.54,34.11
91471951.22,38.74
92690243.9,35.72
93908536.59,39.49
95126829.27,42.15
96345121.95,50.0
97563414.63,48.17
98781707.32,45.89
100000000.0,42.65
