Human Resources and Workplace,the Interaction of Human Resources and Workplace,linear,none
Years of experience (years),Job satisfaction (rating)
0.0,1.95
0.32,1.0
0.63,4.12
0.95,3.15
1.26,2.93
1.58,1.83
1.89,2.82
2.21,2.47
2.53,2.13
2.84,2.29
3.16,2.33
3.47,2.56
3.79,2.83
4.11,2.34
4.42,3.65
4.74,1.68
5.05,1.81
5.37,2.79
5.68,1.82
6.0,3.23
6.32,2.83
6.63,1.56
6.95,3.57
7.26,2.59
7.58,4.05
7.89,3.22
8.21,2.42
8.53,2.57
8.84,3.32
9.16,2.67
9.47,2.34
9.79,1.88
10.11,2.8
10.42,4.08
10.74,2.35
11.05,4.04
11.37,2.94
11.68,2.92
12.0,2.19
12.32,1.22
12.63,3.19
12.95,3.01
13.26,2.7
13.58,3.41
13.89,5.0
14.21,2.59
14.53,2.78
14.84,2.44
15.16,2.28
15.47,3.21
15.79,3.37
16.11,1.87
16.42,3.92
16.74,3.17
17.05,3.28
17.37,2.51
17.68,2.74
18.0,1.23
18.32,3.87
18.63,1.83
18.95,1.82
19.26,2.67
19.58,3.65
19.89,3.49
20.21,2.82
20.53,4.02
20.84,1.91
21.16,2.81
21.47,1.73
21.79,2.1
22.11,3.27
22.42,3.33
22.74,2.09
23.05,2.57
23.37,3.35
23.68,3.58
24.0,3.79
24.32,3.59
24.63,4.07
24.95,3.35
25.26,3.82
25.58,2.93
25.89,3.89
26.21,3.78
26.53,3.02
26.84,3.22
27.16,2.05
27.47,3.49
27.79,2.49
28.11,3.5
28.42,3.87
28.74,4.14
29.05,3.36
29.37,2.1
29.68,3.56
30.0,2.88
