Social Media and Digital Media and Streaming,the Dynamics of Social Media and Digital Media and Streaming,exponential,negative
Posting frequency (posts/day),Conversion rate (%)
1.0,10.0
1.49,7.84
1.97,7.36
2.46,5.73
2.95,3.35
3.44,3.75
3.92,2.99
4.41,2.4
4.9,3.03
5.38,2.66
5.87,2.48
6.36,1.9
6.85,2.06
7.33,1.94
7.82,1.03
8.31,1.45
8.79,1.02
9.28,1.88
9.77,1.77
10.26,0.2
10.74,2.04
11.23,1.18
11.72,1.78
12.21,1.16
12.69,0.16
13.18,0.69
13.67,0.94
14.15,1.57
14.64,0.6
15.13,1.45
15.62,1.24
16.1,1.09
16.59,1.49
17.08,1.13
17.56,0.61
18.05,1.53
18.54,0.0
19.03,1.48
19.51,0.69
20.0,0.41
