Environmental Science and Ecology,the Pattern of Environmental Science and Ecology,exponential,negative
Pollution level (index),Air quality (index)
10.0,90.01
11.18,76.63
12.37,97.07
13.55,100.0
14.74,78.18
15.92,69.74
17.11,67.85
18.29,74.79
19.47,60.98
20.66,52.98
21.84,68.61
23.03,40.36
24.21,57.9
25.39,46.41
26.58,63.03
27.76,38.51
28.95,33.85
30.13,39.13
31.32,50.67
32.5,36.18
33.68,31.51
34.87,30.97
36.05,35.67
37.24,50.3
38.42,22.27
39.61,29.44
40.79,25.68
41.97,21.4
43.16,35.42
44.34,23.52
45.53,22.96
46.71,21.56
47.89,11.83
49.08,18.05
50.26,6.45
51.45,19.74
52.63,15.42
53.82,8.88
55.0,28.71
56.18,24.33
57.37,21.72
58.55,5.89
59.74,7.39
60.92,28.52
62.11,11.92
63.29,12.42
64.47,2.21
65.66,2.84
66.84,18.2
68.03,14.48
69.21,13.7
70.39,23.47
71.58,6.99
72.76,21.69
73.95,20.39
75.13,14.98
76.32,2.22
77.5,14.13
78.68,13.24
79.87,1.04
81.05,18.33
82.24,17.67
83.42,11.95
84.61,12.68
85.79,0.0
86.97,2.41
88.16,6.54
89.34,14.26
90.53,3.68
91.71,6.12
92.89,9.89
94.08,23.66
95.26,0.21
96.45,17.57
97.63,20.58
98.82,29.09
100.0,7.29
