Marketing and Sales,the Influence of Marketing and Sales,u_shape,negative
Email open rate (%),Revenue ($)
5.0,54378228.39
5.56,43483723.04
6.12,22119831.3
6.69,97860693.62
7.25,226159552.04
7.81,183097644.11
8.38,334161914.79
8.94,279249926.7
9.5,417196666.85
10.06,347871749.78
10.62,353005621.01
11.19,413384520.11
11.75,445688624.53
12.31,576868575.87
12.88,523259369.59
13.44,561589226.51
14.0,601889095.24
14.56,633341870.7
15.12,663604075.35
15.69,698845992.62
16.25,715507088.77
16.81,765223281.37
17.38,720281174.84
17.94,815581009.74
18.5,838627969.5
19.06,866996172.06
19.62,850268953.38
20.19,858902039.74
20.75,924842798.49
21.31,900716415.97
21.88,879450052.33
22.44,896040145.75
23.0,829277976.62
23.56,979477156.38
24.12,880697090.83
24.69,864908339.84
25.25,954304397.09
25.81,957903328.45
26.38,951229596.47
26.94,908236362.83
27.5,956290708.94
28.06,1000000000.0
28.62,968826931.46
29.19,921458346.4
29.75,935313729.8
30.31,923888596.29
30.87,887978881.67
31.44,942160470.08
32.0,932868676.71
32.56,880892325.69
33.12,923192943.84
33.69,849310036.18
34.25,884275938.06
34.81,871573902.84
35.38,815282843.08
35.94,891044631.21
36.5,839135602.95
37.06,745069929.87
37.62,823369215.84
38.19,770857312.75
38.75,674364123.6
39.31,748339689.59
39.88,660399159.29
40.44,586790563.35
41.0,624844345.45
41.56,550269748.23
42.12,513566573.92
42.69,518309787.46
43.25,412143072.45
43.81,386105782.03
44.38,354827390.64
44.94,338460051.17
45.5,336548150.56
46.06,236977219.1
46.62,307429375.67
47.19,191926888.13
47.75,163635230.03
48.31,93193440.34
48.88,72973621.91
49.44,15668227.39
50.0,10000.0
