Education and Academics,the Distribution of Education and Academics,linear,positive
Study hours (hours/week),Academic performance (score)
1.0,34.03
1.85,51.79
2.7,0.0
3.54,67.3
4.39,32.16
5.24,47.09
6.09,75.99
6.93,28.44
7.78,61.23
8.63,62.99
9.48,20.29
10.33,91.28
11.17,50.99
12.02,52.13
12.87,71.41
13.72,26.59
14.57,40.67
15.41,40.12
16.26,66.03
17.11,65.52
17.96,59.3
18.8,87.38
19.65,59.76
20.5,43.16
21.35,64.13
22.2,81.87
23.04,76.33
23.89,72.6
24.74,65.07
25.59,41.76
26.43,64.2
27.28,82.89
28.13,100.0
28.98,63.93
29.83,59.02
30.67,93.57
31.52,60.81
32.37,64.78
33.22,63.07
34.07,37.92
34.91,82.06
35.76,59.25
36.61,16.77
37.46,71.41
38.3,30.15
39.15,60.16
40.0,44.68
