Energy and Utilities,the Comparison of Energy and Utilities,u_shape,positive
Grid stability (index),Reliability index (score)
0.0,87.04
1.04,83.2
2.08,90.36
3.12,74.58
4.17,77.77
5.21,71.31
6.25,73.09
7.29,68.48
8.33,62.63
9.38,63.07
10.42,56.29
11.46,55.66
12.5,54.4
13.54,46.45
14.58,62.94
15.63,37.0
16.67,52.34
17.71,37.39
18.75,36.95
19.79,44.02
20.83,35.48
21.88,39.75
22.92,31.26
23.96,29.56
25.0,24.65
26.04,29.74
27.08,25.22
28.13,32.73
29.17,21.33
30.21,27.28
31.25,25.24
32.29,25.27
33.33,12.08
34.38,14.03
35.42,20.78
36.46,21.89
37.5,22.64
38.54,5.06
39.58,14.87
40.62,11.76
41.67,13.33
42.71,9.28
43.75,15.92
44.79,19.56
45.83,16.66
46.88,12.53
47.92,6.73
48.96,10.57
50.0,0.0
51.04,20.02
52.08,13.58
53.13,10.94
54.17,5.42
55.21,9.51
56.25,14.36
57.29,7.47
58.33,19.83
59.38,20.74
60.42,17.01
61.46,16.0
62.5,13.23
63.54,9.12
64.58,32.01
65.62,23.58
66.67,19.48
67.71,17.7
68.75,14.98
69.79,23.35
70.83,22.29
71.88,19.41
72.92,25.8
73.96,37.59
75.0,26.43
76.04,24.65
77.08,30.49
78.12,32.41
79.17,41.15
80.21,41.42
81.25,39.29
82.29,47.19
83.33,39.51
84.38,44.91
85.42,53.06
86.46,58.38
87.5,59.93
88.54,49.58
89.58,60.5
90.62,60.45
91.67,70.64
92.71,60.49
93.75,65.54
94.79,78.71
95.83,78.86
96.88,74.77
97.92,83.66
98.96,100.0
100.0,92.57
