Marketing and Sales,the Relationship of Marketing and Sales,u_shape,positive
Advertising spend ($),Conversion rate (%)
1000.0,10.0
19163.64,9.21
37327.27,8.88
55490.91,7.38
73654.55,6.62
91818.18,6.96
109981.82,5.27
128145.45,6.28
146309.09,5.83
164472.73,4.76
182636.36,4.31
200800.0,4.24
218963.64,3.28
237127.27,2.35
255290.91,2.15
273454.55,2.61
291618.18,1.44
309781.82,2.59
327945.45,1.94
346109.09,1.05
364272.73,1.71
382436.36,0.64
400600.0,0.48
418763.64,0.48
436927.27,1.46
455090.91,1.35
473254.55,0.49
491418.18,0.82
509581.82,0.42
527745.45,0.15
545909.09,0.0
564072.73,1.09
582236.36,0.72
600400.0,2.22
618563.64,0.94
636727.27,0.99
654890.91,1.11
673054.55,0.62
691218.18,2.17
709381.82,1.45
727545.45,1.69
745709.09,2.79
763872.73,2.95
782036.36,3.67
800200.0,4.69
818363.64,4.33
836527.27,4.41
854690.91,4.69
872854.55,5.53
891018.18,6.16
909181.82,7.91
927345.45,8.39
945509.09,7.99
963672.73,7.4
981836.36,8.8
1000000.0,9.4
