Environmental Science and Ecology,the Pattern of Environmental Science and Ecology,u_shape,positive
Pollution level (index),Water quality (index)
10.0,100.0
11.76,88.62
13.53,88.0
15.29,75.24
17.06,61.75
18.82,60.39
20.59,59.8
22.35,51.21
24.12,49.76
25.88,38.79
27.65,38.7
29.41,39.64
31.18,32.99
32.94,17.79
34.71,20.17
36.47,18.97
38.24,19.29
40.0,12.62
41.76,13.39
43.53,16.85
45.29,14.33
47.06,6.4
48.82,1.93
50.59,0.08
52.35,2.66
54.12,8.33
55.88,7.45
57.65,4.49
59.41,5.39
61.18,0.35
62.94,0.0
64.71,8.45
66.47,16.44
68.24,11.64
70.0,16.87
71.76,14.55
73.53,15.34
75.29,20.99
77.06,30.8
78.82,31.13
80.59,38.08
82.35,41.13
84.12,46.53
85.88,52.78
87.65,60.52
89.41,46.37
91.18,60.84
92.94,71.32
94.71,79.35
96.47,87.57
98.24,88.68
100.0,96.8
