Marketing and Sales,the Trend of Marketing and Sales,exponential,none
Advertising spend ($),Revenue ($)
1000.0,489573086.21
35448.28,620580846.17
69896.55,410468546.56
104344.83,124075070.35
138793.1,258290818.18
173241.38,482259665.68
207689.66,427448757.13
242137.93,582310452.61
276586.21,608188232.73
311034.48,61494123.92
345482.76,103286569.98
379931.03,761819106.97
414379.31,819842344.57
448827.59,433634363.28
483275.86,1000000000.0
517724.14,540536824.02
552172.41,586228506.37
586620.69,588972180.64
621068.97,669026636.72
655517.24,340398868.08
689965.52,546734647.66
724413.79,440747653.2
758862.07,10000.0
793310.34,573301687.61
827758.62,759381076.66
862206.9,406927081.15
896655.17,406070645.1
931103.45,435688335.95
965551.72,747018730.75
1000000.0,535115570.64
