Environmental Science and Ecology,the Influence of Environmental Science and Ecology,exponential,negative
Pollution level (index),Crop yield (tons/hectare)
10.0,10.0
11.67,7.2
13.33,7.09
15.0,6.63
16.67,6.59
18.33,5.54
20.0,5.53
21.67,5.18
23.33,4.88
25.0,4.44
26.67,4.72
28.33,4.97
30.0,4.46
31.67,4.55
33.33,3.28
35.0,3.03
36.67,3.29
38.33,3.51
40.0,3.36
41.67,1.36
43.33,3.37
45.0,2.55
46.67,3.71
48.33,2.8
50.0,3.6
51.67,2.76
53.33,3.24
55.0,2.43
56.67,2.32
58.33,1.54
60.0,2.62
61.67,3.06
63.33,2.96
65.0,1.81
66.67,2.53
68.33,2.18
70.0,2.27
71.67,3.93
73.33,2.69
75.0,1.19
76.67,2.16
78.33,2.75
80.0,3.96
81.67,2.35
83.33,2.02
85.0,2.28
86.67,2.3
88.33,2.66
90.0,2.02
91.67,1.35
93.33,3.01
95.0,2.04
96.67,1.0
98.33,3.01
100.0,2.14
