Human Resources and Workplace,the Correlation of Human Resources and Workplace,linear,positive
Employee training hours (hours/year),Productivity (index)
1.0,77.93
1.67,125.0
2.34,75.45
3.01,83.08
3.68,65.43
4.36,74.64
5.03,94.59
5.7,113.91
6.37,106.72
7.04,81.01
7.71,58.04
8.38,94.79
9.05,99.29
9.73,57.23
10.4,119.23
11.07,122.1
11.74,108.76
12.41,58.23
13.08,101.36
13.75,108.26
14.42,113.48
15.1,119.21
15.77,91.16
16.44,101.26
17.11,67.89
17.78,82.44
18.45,84.24
19.12,89.73
19.79,87.96
20.47,76.45
21.14,98.06
21.81,50.0
22.48,95.87
23.15,85.01
23.82,121.05
24.49,107.37
25.16,62.65
25.84,96.61
26.51,101.04
27.18,96.69
27.85,127.87
28.52,140.21
29.19,100.81
29.86,93.97
30.53,111.09
31.21,118.19
31.88,138.32
32.55,141.92
33.22,121.13
33.89,123.02
34.56,136.87
35.23,124.37
35.9,99.76
36.58,91.14
37.25,99.73
37.92,136.28
38.59,99.42
39.26,113.66
39.93,119.72
40.6,133.37
41.27,125.53
41.95,99.82
42.62,113.74
43.29,71.38
43.96,134.19
44.63,136.1
45.3,80.73
45.97,68.07
46.64,101.91
47.32,101.39
47.99,150.0
48.66,123.21
49.33,115.9
50.0,83.54
