Transportation and Logistics,the Distribution of Transportation and Logistics,u_shape,positive
Fuel cost ($/gallon),On-time rate (%)
2.0,100.0
2.05,97.09
2.09,96.28
2.14,93.51
2.18,91.69
2.23,91.34
2.27,90.53
2.32,87.96
2.36,86.97
2.41,86.12
2.45,85.08
2.5,83.43
2.55,81.39
2.59,81.44
2.64,79.47
2.68,78.48
2.73,78.06
2.77,77.54
2.82,76.45
2.86,75.37
2.91,74.84
2.95,74.36
3.0,74.73
3.05,73.13
3.09,72.75
3.14,72.0
3.18,71.93
3.23,72.25
3.27,70.96
3.32,70.03
3.36,71.97
3.41,70.34
3.45,70.96
3.5,70.59
3.55,70.0
3.59,71.48
3.64,70.86
3.68,70.31
3.73,71.73
3.77,72.06
3.82,71.13
3.86,73.28
3.91,72.63
3.95,72.51
4.0,74.62
4.05,74.58
4.09,75.06
4.14,75.87
4.18,75.79
4.23,77.36
4.27,79.43
4.32,78.66
4.36,79.85
4.41,80.22
4.45,81.91
4.5,82.78
4.55,84.2
4.59,86.41
4.64,87.12
4.68,87.46
4.73,89.49
4.77,90.79
4.82,93.14
4.86,93.76
4.91,96.18
4.95,95.33
5.0,98.08
