Real Estate and Construction,the Trend of Real Estate and Construction,u_shape,negative
Development density (units/acre),Vacancy rate (%)
1.0,2.53
2.25,2.72
3.51,6.38
4.76,8.59
6.01,5.09
7.27,7.17
8.52,6.58
9.77,8.29
11.03,7.86
12.28,7.93
13.53,8.02
14.78,8.57
16.04,12.14
17.29,14.62
18.54,10.93
19.8,8.77
21.05,12.2
22.3,13.71
23.56,13.45
24.81,11.1
26.06,12.7
27.32,16.0
28.57,14.37
29.82,12.13
31.08,18.19
32.33,16.24
33.58,15.23
34.84,16.79
36.09,14.82
37.34,15.46
38.59,16.35
39.85,17.06
41.1,15.62
42.35,15.14
43.61,17.55
44.86,18.23
46.11,15.32
47.37,18.67
48.62,16.95
49.87,16.1
51.13,19.35
52.38,18.73
53.63,20.0
54.89,16.82
56.14,17.03
57.39,17.76
58.65,18.41
59.9,16.24
61.15,17.29
62.41,17.41
63.66,16.0
64.91,16.62
66.16,16.81
67.42,16.41
68.67,16.76
69.92,13.24
71.18,15.71
72.43,13.72
73.68,15.93
74.94,13.98
76.19,11.1
77.44,11.86
78.7,11.32
79.95,12.82
81.2,11.33
82.46,13.98
83.71,13.25
84.96,10.31
86.22,9.25
87.47,7.96
88.72,9.21
89.97,6.59
91.23,7.57
92.48,8.1
93.73,5.09
94.99,6.44
96.24,5.41
97.49,5.87
98.75,3.14
100.0,0.0
