Energy and Utilities,the Analysis of Energy and Utilities,exponential,positive
Renewable energy share (%),Reliability index (score)
0.0,0.0
1.09,4.58
2.17,2.26
3.26,2.31
4.35,1.7
5.43,5.52
6.52,8.88
7.61,3.45
8.7,8.2
9.78,8.09
10.87,8.65
11.96,8.59
13.04,0.4
14.13,7.98
15.22,7.11
16.3,7.82
17.39,7.49
18.48,8.42
19.57,10.62
20.65,7.98
21.74,12.49
22.83,14.99
23.91,10.74
25.0,13.69
26.09,12.68
27.17,7.11
28.26,14.06
29.35,16.66
30.43,14.85
31.52,14.32
32.61,14.47
33.7,13.81
34.78,14.62
35.87,18.3
36.96,17.39
38.04,16.09
39.13,19.32
40.22,18.96
41.3,20.1
42.39,15.58
43.48,24.58
44.57,24.98
45.65,21.82
46.74,23.64
47.83,21.98
48.91,24.17
50.0,28.24
51.09,27.52
52.17,29.74
53.26,27.62
54.35,28.55
55.43,31.31
56.52,30.1
57.61,30.41
58.7,28.49
59.78,34.42
60.87,31.92
61.96,40.5
63.04,38.44
64.13,37.64
65.22,38.35
66.3,36.68
67.39,40.42
68.48,39.26
69.57,48.31
70.65,44.48
71.74,44.38
72.83,48.0
73.91,49.77
75.0,53.43
76.09,55.41
77.17,53.47
78.26,58.95
79.35,59.77
80.43,55.22
81.52,61.19
82.61,60.0
83.7,61.85
84.78,66.7
85.87,69.18
86.96,71.12
88.04,78.26
89.13,81.0
90.22,76.51
91.3,76.76
92.39,83.76
93.48,84.26
94.57,82.77
95.65,89.89
96.74,90.14
97.83,93.15
98.91,98.86
100.0,100.0
