Social Media and Digital Media and Streaming,the Interaction of Social Media and Digital Media and Streaming,linear,negative
Content length (minutes),Conversion rate (%)
1.0,7.85
1.86,6.3
2.71,8.12
3.57,7.21
4.42,8.63
5.28,9.15
6.13,7.49
6.99,9.36
7.84,6.25
8.7,8.64
9.55,10.0
10.41,7.8
11.26,5.49
12.12,8.08
12.97,7.94
13.83,7.25
14.68,7.6
15.54,5.69
16.39,6.98
17.25,7.31
18.1,5.49
18.96,5.49
19.81,6.97
20.67,5.99
21.52,5.19
22.38,5.51
23.23,6.25
24.09,6.26
24.94,5.32
25.8,6.0
26.65,2.48
27.51,5.61
28.36,5.22
29.22,6.45
30.07,6.52
30.93,4.25
31.78,4.29
32.64,4.94
33.49,7.11
34.35,5.22
35.2,3.51
36.06,6.27
36.91,5.67
37.77,5.27
38.62,5.63
39.48,5.27
40.33,3.57
41.19,6.48
42.04,3.75
42.9,5.73
43.75,1.86
44.61,5.95
45.46,3.82
46.32,3.22
47.17,1.25
48.03,2.49
48.88,3.7
49.74,2.25
50.59,4.34
51.45,3.66
52.3,1.74
53.16,0.06
54.01,3.77
54.87,0.0
55.72,2.0
56.58,0.89
57.43,1.92
58.29,1.72
59.14,1.86
60.0,3.12
