Energy and Utilities,the Pattern of Energy and Utilities,linear,none
Infrastructure age (years),Customer outage duration (hours/year)
0.0,11.55
0.61,14.32
1.22,15.6
1.83,8.25
2.44,18.48
3.05,12.49
3.66,8.74
4.27,4.23
4.88,3.71
5.49,0.0
6.1,3.39
6.71,5.42
7.32,17.17
7.93,9.1
8.54,12.65
9.15,6.13
9.76,6.29
10.37,18.61
10.98,11.64
11.59,3.91
12.2,1.5
12.8,13.54
13.41,11.8
14.02,13.46
14.63,13.51
15.24,13.12
15.85,10.52
16.46,16.98
17.07,7.48
17.68,1.99
18.29,12.14
18.9,15.1
19.51,12.79
20.12,12.42
20.73,13.67
21.34,4.62
21.95,17.56
22.56,20.87
23.17,8.47
23.78,10.15
24.39,6.7
25.0,17.25
25.61,8.44
26.22,16.03
26.83,6.06
27.44,20.6
28.05,13.54
28.66,14.49
29.27,15.83
29.88,7.04
30.49,10.11
31.1,10.14
31.71,23.12
32.32,10.14
32.93,24.0
33.54,15.32
34.15,7.43
34.76,4.26
35.37,12.17
35.98,13.34
36.59,11.81
37.2,2.05
37.8,15.34
38.41,10.29
39.02,6.06
39.63,3.76
40.24,10.73
40.85,11.99
41.46,9.29
42.07,2.34
42.68,6.22
43.29,11.74
43.9,15.33
44.51,4.2
45.12,12.84
45.73,15.11
46.34,5.47
46.95,6.24
47.56,7.16
48.17,5.45
48.78,14.88
49.39,8.1
50.0,15.53
