Real Estate and Construction,the Correlation of Real Estate and Construction,linear,negative
Property size (m²),Rental yield (%)
500.0,2.65
605.56,2.76
711.11,1.57
816.67,7.04
922.22,5.7
1027.78,5.7
1133.33,7.92
1238.89,6.04
1344.44,7.92
1450.0,6.99
1555.56,5.56
1661.11,6.07
1766.67,7.57
1872.22,6.61
1977.78,8.78
2083.33,7.51
2188.89,4.35
2294.44,8.68
2400.0,6.26
2505.56,3.91
2611.11,6.84
2716.67,6.12
2822.22,5.12
2927.78,6.04
3033.33,5.46
3138.89,5.43
3244.44,6.86
3350.0,8.01
3455.56,2.11
3561.11,5.59
3666.67,6.39
3772.22,7.03
3877.78,4.32
3983.33,7.67
4088.89,4.08
4194.44,5.82
4300.0,6.28
4405.56,8.69
4511.11,5.43
4616.67,5.32
4722.22,8.95
4827.78,4.87
4933.33,7.3
5038.89,3.36
5144.44,7.64
5250.0,5.81
5355.56,6.52
5461.11,5.55
5566.67,7.22
5672.22,5.43
5777.78,4.9
5883.33,6.25
5988.89,5.41
6094.44,6.94
6200.0,5.32
6305.56,5.32
6411.11,4.29
6516.67,6.28
6622.22,7.79
6727.78,3.81
6833.33,2.28
6938.89,6.23
7044.44,3.75
7150.0,5.12
7255.56,7.95
7361.11,5.61
7466.67,7.07
7572.22,5.42
7677.78,6.55
7783.33,4.17
7888.89,5.47
7994.44,6.76
8100.0,4.96
8205.56,4.29
8311.11,5.31
8416.67,6.11
8522.22,3.43
8627.78,4.35
8733.33,6.21
8838.89,4.08
8944.44,4.25
9050.0,10.0
9155.56,5.31
9261.11,4.92
9366.67,6.2
9472.22,6.14
9577.78,4.9
9683.33,4.26
9788.89,2.97
9894.44,1.36
10000.0,1.0
