Tourism and Hospitality,the Comparison of Tourism and Hospitality,u_shape,positive
Marketing budget ($),Booking conversion (%)
1000.0,19.21
20588.24,17.09
40176.47,15.44
59764.71,15.38
79352.94,15.05
98941.18,13.87
118529.41,13.18
138117.65,11.93
157705.88,8.6
177294.12,8.98
196882.35,6.89
216470.59,8.31
236058.82,5.3
255647.06,6.39
275235.29,3.89
294823.53,2.82
314411.76,3.14
334000.0,1.6
353588.24,3.21
373176.47,0.93
392764.71,2.4
412352.94,0.25
431941.18,2.22
451529.41,1.68
471117.65,1.03
490705.88,1.3
510294.12,1.08
529882.35,0.07
549470.59,0.0
569058.82,0.69
588647.06,0.64
608235.29,1.07
627823.53,2.96
647411.76,2.41
667000.0,3.67
686588.24,3.44
706176.47,3.51
725764.71,2.85
745352.94,4.8
764941.18,5.14
784529.41,5.08
804117.65,9.29
823705.88,8.88
843294.12,8.48
862882.35,9.47
882470.59,9.9
902058.82,12.57
921647.06,14.51
941235.29,14.46
960823.53,16.71
980411.76,19.1
1000000.0,20.0
