Human Resources and Workplace,the Overview of Human Resources and Workplace,u_shape,negative
Years of experience (years),Promotion rate (%)
0.0,3.34
0.79,5.99
1.58,6.92
2.37,6.77
3.16,9.47
3.95,8.55
4.74,10.7
5.53,9.99
6.32,12.14
7.11,16.3
7.89,17.59
8.68,13.92
9.47,15.45
10.26,15.96
11.05,18.81
11.84,17.11
12.63,18.18
13.42,17.07
14.21,19.44
15.0,16.77
15.79,16.58
16.58,15.14
17.37,20.0
18.16,16.19
18.95,17.06
19.74,16.41
20.53,19.73
21.32,10.99
22.11,16.29
22.89,13.28
23.68,11.93
24.47,8.77
25.26,8.15
26.05,7.42
26.84,9.39
27.63,4.78
28.42,5.18
29.21,2.72
30.0,0.0
