Finance and Economics,the Overview of Finance and Economics,u_shape,negative
Interest rate (%),Consumer spending ($)
0.1,2970.05
0.23,14100.57
0.36,13261.18
0.49,12374.39
0.61,21911.85
0.74,18442.66
0.87,20289.2
1.0,22109.43
1.13,37210.46
1.26,42012.28
1.39,36449.13
1.51,38265.36
1.64,46736.79
1.77,42125.08
1.9,57643.85
2.03,53996.58
2.16,54080.74
2.29,64652.85
2.41,65455.47
2.54,71642.63
2.67,76547.64
2.8,80270.78
2.93,72941.83
3.06,72923.83
3.19,82695.62
3.31,85631.73
3.44,72191.6
3.57,78327.0
3.7,77334.82
3.83,73397.09
3.96,100000.0
4.09,89725.86
4.21,75424.96
4.34,85245.93
4.47,80650.82
4.6,84602.09
4.73,87686.44
4.86,82940.4
4.99,85399.5
5.11,73210.64
5.24,85436.43
5.37,86611.27
5.5,88083.62
5.63,95342.96
5.76,86197.18
5.89,85880.98
6.01,82133.7
6.14,86257.08
6.27,80993.21
6.4,84737.66
6.53,88197.75
6.66,80354.71
6.79,72485.8
6.91,80690.41
7.04,76216.82
7.17,68915.64
7.3,74698.77
7.43,79073.17
7.56,58234.87
7.69,65850.87
7.81,64344.77
7.94,59084.93
8.07,58176.69
8.2,48978.35
8.33,54748.67
8.46,45580.57
8.59,49220.25
8.71,38231.33
8.84,44425.11
8.97,31458.52
9.1,30644.49
9.23,29231.89
9.36,33170.76
9.49,24498.13
9.61,11546.0
9.74,15161.78
9.87,10786.18
10.0,1000.0
