Healthcare and Medicine,the Pattern of Healthcare and Medicine,exponential,negative
Treatment dosage (mg),Patient satisfaction (rating)
10.0,5.0
21.12,4.82
32.25,4.9
43.37,4.12
54.49,4.3
65.62,4.67
76.74,3.59
87.87,3.34
98.99,3.36
110.11,3.07
121.24,3.02
132.36,2.79
143.48,2.6
154.61,2.73
165.73,2.32
176.85,2.29
187.98,2.34
199.1,2.28
210.22,2.28
221.35,2.43
232.47,2.14
243.6,2.19
254.72,2.13
265.84,2.02
276.97,2.06
288.09,2.03
299.21,2.01
310.34,1.95
321.46,1.93
332.58,2.29
343.71,2.15
354.83,1.57
365.96,2.2
377.08,2.04
388.2,1.35
399.33,1.73
410.45,1.82
421.57,1.53
432.7,1.83
443.82,1.48
454.94,1.44
466.07,1.92
477.19,1.23
488.31,1.53
499.44,1.94
510.56,1.51
521.69,2.01
532.81,1.31
543.93,1.75
555.06,1.51
566.18,1.85
577.3,1.44
588.43,1.8
599.55,1.6
610.67,1.92
621.8,1.68
632.92,1.46
644.04,1.7
655.17,1.52
666.29,1.23
677.42,1.58
688.54,1.35
699.66,1.55
710.79,1.0
721.91,1.38
733.03,1.64
744.16,1.13
755.28,1.85
766.4,1.82
777.53,1.71
788.65,1.35
799.78,1.66
810.9,1.69
822.02,1.79
833.15,1.33
844.27,1.62
855.39,1.39
866.52,1.09
877.64,1.55
888.76,1.89
899.89,1.25
911.01,1.79
922.13,1.96
933.26,1.72
944.38,1.5
955.51,1.95
966.63,1.49
977.75,1.4
988.88,1.63
1000.0,1.54
