Transportation and Logistics,the Comparison of Transportation and Logistics,u_shape,positive
Fuel cost ($/gallon),Fuel efficiency (mpg)
2.0,46.24
2.07,46.28
2.14,43.59
2.21,41.39
2.28,39.39
2.35,36.94
2.42,34.25
2.49,30.84
2.56,29.64
2.63,28.02
2.7,26.86
2.77,24.75
2.84,24.29
2.91,22.26
2.98,18.52
3.05,20.51
3.12,20.43
3.19,16.71
3.26,19.28
3.33,19.83
3.4,15.0
3.47,16.96
3.53,19.46
3.6,16.18
3.67,17.18
3.74,19.24
3.81,19.11
3.88,19.13
3.95,18.71
4.02,23.24
4.09,22.28
4.16,23.85
4.23,23.86
4.3,25.46
4.37,28.66
4.44,31.06
4.51,32.24
4.58,34.12
4.65,36.18
4.72,39.61
4.79,39.36
4.86,43.41
4.93,45.69
5.0,50.0
