Technology and Innovation,the Relationship of Technology and Innovation,linear,none
Smartphone penetration (%),E-commerce sales ($)
20.0,262030190.46
20.88,349492640.55
21.76,272706193.71
22.65,528511178.07
23.53,746504666.89
24.41,250270625.98
25.29,495945795.92
26.18,141419551.4
27.06,447256738.32
27.94,598663204.44
28.82,835704587.1
29.71,500218792.3
30.59,342955505.98
31.47,334868433.03
32.35,293954914.39
33.24,427065164.4
34.12,847647907.22
35.0,412646569.56
35.88,392408437.7
36.76,452837155.94
37.65,665722768.5
38.53,246108144.6
39.41,197942513.52
40.29,393162070.45
41.18,677258055.68
42.06,349566469.79
42.94,308644496.19
43.82,551967346.87
44.71,463644567.84
45.59,344733738.52
46.47,421595588.6
47.35,565903886.07
48.24,256235359.95
49.12,364159829.37
50.0,600683526.08
50.88,207471542.99
51.76,388642775.62
52.65,520583159.59
53.53,747158974.62
54.41,470025232.1
55.29,549422884.0
56.18,665747411.05
57.06,654045903.92
57.94,201674888.64
58.82,536853465.13
59.71,581088014.66
60.59,586719436.99
61.47,392542473.96
62.35,198381014.32
63.24,364821083.25
64.12,502738415.21
65.0,558091951.66
65.88,454167461.92
66.76,781351393.63
67.65,1000000000.0
68.53,386466022.33
69.41,694593100.03
70.29,122332651.04
71.18,461893716.87
72.06,590621262.18
72.94,459665797.8
73.82,468002247.01
74.71,349701491.6
75.59,470992886.43
76.47,662788473.3
77.35,750681041.4
78.24,255338341.87
79.12,568800476.43
80.0,10000.0
80.88,441806083.64
81.76,507562978.25
82.65,368374949.55
83.53,389664674.76
84.41,212901144.78
85.29,458533553.18
86.18,394791970.45
87.06,445897196.43
87.94,315662697.68
88.82,307146667.24
89.71,262493338.71
90.59,275270510.74
91.47,454830945.06
92.35,506182604.13
93.24,953522173.15
94.12,371553572.11
95.0,244252105.05
