Sports and Fitness,the Interaction of Sports and Fitness,exponential,positive
Sleep duration (hours/night),Win rate (%)
4.0,4.86
4.12,4.2
4.24,0.0
4.35,1.96
4.47,2.04
4.59,9.04
4.71,8.36
4.82,10.11
4.94,8.35
5.06,9.74
5.18,8.67
5.29,10.91
5.41,5.99
5.53,11.55
5.65,13.6
5.76,13.08
5.88,13.84
6.0,16.82
6.12,18.5
6.24,18.22
6.35,17.13
6.47,16.65
6.59,21.36
6.71,25.78
6.82,20.98
6.94,22.64
7.06,27.16
7.18,28.54
7.29,28.67
7.41,28.63
7.53,33.07
7.65,31.16
7.76,42.28
7.88,40.05
8.0,46.79
8.12,41.62
8.24,47.93
8.35,47.25
8.47,50.17
8.59,50.48
8.71,57.41
8.82,58.82
8.94,66.0
9.06,65.5
9.18,66.98
9.29,73.8
9.41,79.01
9.53,80.42
9.65,86.02
9.76,86.43
9.88,96.84
10.0,100.0
