Education and Academics,the Trend of Education and Academics,u_shape,negative
Class size (students),Test scores (score)
10.0,524.54
10.33,529.29
10.66,597.32
10.99,535.94
11.32,650.11
11.65,764.07
11.98,660.07
12.31,738.26
12.64,741.2
12.97,785.83
13.3,947.43
13.63,879.62
13.96,966.77
14.29,1000.62
14.62,985.16
14.95,974.82
15.27,983.52
15.6,1059.81
15.93,1138.74
16.26,1161.43
16.59,1140.93
16.92,1263.01
17.25,1300.02
17.58,1314.32
17.91,1281.31
18.24,1368.21
18.57,1314.64
18.9,1399.88
19.23,1416.96
19.56,1469.36
19.89,1484.95
20.22,1424.01
20.55,1449.93
20.88,1510.15
21.21,1402.52
21.54,1465.09
21.87,1515.14
22.2,1441.02
22.53,1510.72
22.86,1502.62
23.19,1559.26
23.52,1514.79
23.85,1477.57
24.18,1600.0
24.51,1531.52
24.84,1556.09
25.16,1543.48
25.49,1436.35
25.82,1527.33
26.15,1428.99
26.48,1455.08
26.81,1498.51
27.14,1489.87
27.47,1542.27
27.8,1454.4
28.13,1491.26
28.46,1477.45
28.79,1434.59
29.12,1468.94
29.45,1388.59
29.78,1390.49
30.11,1419.36
30.44,1385.23
30.77,1485.04
31.1,1312.84
31.43,1397.17
31.76,1345.1
32.09,1277.06
32.42,1235.53
32.75,1240.12
33.08,1250.6
33.41,1211.73
33.74,1198.08
34.07,1198.02
34.4,1100.57
34.73,1102.48
35.05,1079.96
35.38,947.52
35.71,927.89
36.04,878.01
36.37,876.4
36.7,897.31
37.03,934.0
37.36,823.96
37.69,713.44
38.02,820.18
38.35,659.93
38.68,665.63
39.01,584.15
39.34,622.83
39.67,482.29
40.0,400.0
