Agriculture and Food Production,the Overview of Agriculture and Food Production,linear,negative
Fertilizer usage (kg/hectare),Crop yield (tons/hectare)
10.0,8.62
24.85,7.01
39.7,8.74
54.55,5.79
69.39,10.0
84.24,5.38
99.09,7.27
113.94,7.78
128.79,7.09
143.64,3.89
158.48,4.33
173.33,4.24
188.18,4.35
203.03,6.61
217.88,6.88
232.73,6.44
247.58,5.62
262.42,4.35
277.27,4.03
292.12,6.52
306.97,5.2
321.82,4.61
336.67,3.34
351.52,1.0
366.36,3.51
381.21,5.19
396.06,4.46
410.91,4.83
425.76,4.91
440.61,2.92
455.45,7.84
470.3,2.03
485.15,7.67
500.0,3.58
