Environmental Science and Ecology,the Trend of Environmental Science and Ecology,linear,negative
Rainfall amount (mm/year),Crop yield (tons/hectare)
100.0,10.0
142.22,8.54
184.44,9.11
226.67,7.57
268.89,8.6
311.11,7.6
353.33,9.95
395.56,6.69
437.78,8.6
480.0,7.18
522.22,7.56
564.44,8.41
606.67,9.51
648.89,8.71
691.11,8.26
733.33,7.06
775.56,7.97
817.78,7.19
860.0,7.13
902.22,6.41
944.44,6.75
986.67,5.87
1028.89,7.07
1071.11,4.85
1113.33,4.19
1155.56,3.92
1197.78,7.18
1240.0,6.38
1282.22,6.31
1324.44,3.13
1366.67,4.85
1408.89,4.09
1451.11,4.08
1493.33,3.39
1535.56,5.47
1577.78,5.12
1620.0,2.52
1662.22,4.24
1704.44,1.0
1746.67,3.43
1788.89,2.99
1831.11,2.08
1873.33,2.13
1915.56,2.62
1957.78,2.01
2000.0,1.57
