Real Estate and Construction,the Relationship of Real Estate and Construction,u_shape,negative
Location score (score),Construction time (months)
1.0,1.0
1.2,2.83
1.4,3.49
1.6,9.24
1.8,6.73
2.0,10.88
2.2,11.93
2.4,12.31
2.6,11.68
2.8,14.07
3.0,18.03
3.2,16.27
3.4,20.75
3.6,19.5
3.8,22.04
4.0,23.04
4.2,19.89
4.4,17.39
4.6,22.42
4.8,22.54
5.0,24.0
5.2,21.13
5.4,20.25
5.6,23.63
5.8,21.41
6.0,21.9
6.2,22.47
6.4,20.42
6.6,23.64
6.8,21.41
7.0,23.49
7.2,22.26
7.4,18.8
7.6,19.99
7.8,20.19
8.0,16.18
8.2,13.86
8.4,13.78
8.6,12.09
8.8,10.54
9.0,7.68
9.2,9.22
9.4,7.38
9.6,5.44
9.8,2.8
10.0,3.03
