Energy and Utilities,the Overview of Energy and Utilities,linear,negative
Energy consumption (kWh/month),Service cost ($/month)
1000.0,327.37
17932.2,386.59
34864.41,367.93
51796.61,498.85
68728.81,286.77
85661.02,386.6
102593.22,500.0
119525.42,207.14
136457.63,382.11
153389.83,368.4
170322.03,420.35
187254.24,398.42
204186.44,301.72
221118.64,342.43
238050.85,203.09
254983.05,446.27
271915.25,354.8
288847.46,377.94
305779.66,412.93
322711.86,424.79
339644.07,309.95
356576.27,310.68
373508.47,353.3
390440.68,350.04
407372.88,269.38
424305.08,216.08
441237.29,294.75
458169.49,231.32
475101.69,368.24
492033.9,302.05
508966.1,232.6
525898.31,220.12
542830.51,362.92
559762.71,131.53
576694.92,358.1
593627.12,146.06
610559.32,251.5
627491.53,71.94
644423.73,50.0
661355.93,326.71
678288.14,191.54
695220.34,149.98
712152.54,206.36
729084.75,345.24
746016.95,302.51
762949.15,264.71
779881.36,209.64
796813.56,109.89
813745.76,161.02
830677.97,253.11
847610.17,183.51
864542.37,199.58
881474.58,207.6
898406.78,233.4
915338.98,257.8
932271.19,288.53
949203.39,198.21
966135.59,236.02
983067.8,112.53
1000000.0,228.66
