Tourism and Hospitality,the Correlation of Tourism and Hospitality,exponential,none
Seasonality index (index),Occupancy rate (%)
0.0,74.59
0.12,63.45
0.24,57.08
0.36,67.02
0.48,88.3
0.6,76.81
0.71,47.49
0.83,66.68
0.95,57.7
1.07,81.88
1.19,74.16
1.31,69.02
1.43,52.56
1.55,30.0
1.67,69.08
1.79,75.55
1.9,47.87
2.02,46.69
2.14,74.42
2.26,68.92
2.38,65.78
2.5,59.07
2.62,75.71
2.74,49.06
2.86,67.32
2.98,67.96
3.1,70.04
3.21,69.94
3.33,70.53
3.45,64.64
3.57,59.78
3.69,88.7
3.81,43.36
3.93,72.88
4.05,54.3
4.17,52.27
4.29,92.87
4.4,66.21
4.52,34.64
4.64,65.53
4.76,49.94
4.88,73.08
5.0,71.58
5.12,68.27
5.24,87.48
5.36,67.28
5.48,55.55
5.6,56.51
5.71,82.18
5.83,30.25
5.95,78.87
6.07,55.19
6.19,87.63
6.31,59.27
6.43,67.32
6.55,92.04
6.67,65.96
6.79,72.52
6.9,52.95
7.02,43.39
7.14,52.7
7.26,85.55
7.38,70.94
7.5,89.83
7.62,66.6
7.74,94.16
7.86,68.13
7.98,43.28
8.1,56.14
8.21,83.13
8.33,48.87
8.45,71.87
8.57,79.07
8.69,57.78
8.81,100.0
8.93,60.51
9.05,50.19
9.17,60.48
9.29,55.17
9.4,52.11
9.52,41.12
9.64,56.46
9.76,62.05
9.88,82.77
10.0,66.72
