Marketing and Sales,the Comparison of Marketing and Sales,linear,negative
Email open rate (%),Conversion rate (%)
5.0,4.9
5.55,7.34
6.1,7.1
6.65,8.31
7.2,5.03
7.74,6.8
8.29,6.26
8.84,10.0
9.39,7.46
9.94,7.83
10.49,2.9
11.04,2.32
11.59,4.5
12.13,3.16
12.68,7.87
13.23,8.37
13.78,6.34
14.33,5.17
14.88,4.98
15.43,8.81
15.98,8.96
16.52,7.03
17.07,4.16
17.62,4.8
18.17,4.19
18.72,8.51
19.27,4.54
19.82,6.74
20.37,6.1
20.91,3.52
21.46,5.53
22.01,4.18
22.56,6.44
23.11,3.47
23.66,5.67
24.21,7.23
24.76,2.9
25.3,5.71
25.85,3.63
26.4,4.32
26.95,3.53
27.5,6.12
28.05,3.52
28.6,3.02
29.15,1.48
29.7,8.61
30.24,2.43
30.79,3.4
31.34,1.94
31.89,7.5
32.44,4.14
32.99,2.89
33.54,4.69
34.09,4.18
34.63,7.95
35.18,4.28
35.73,2.51
36.28,5.91
36.83,7.57
37.38,3.37
37.93,3.54
38.48,2.81
39.02,2.2
39.57,6.33
40.12,3.16
40.67,4.93
41.22,3.46
41.77,4.59
42.32,6.77
42.87,5.44
43.41,1.08
43.96,1.39
44.51,2.13
45.06,1.49
45.61,1.5
46.16,1.74
46.71,2.33
47.26,4.0
47.8,4.14
48.35,5.44
48.9,0.0
49.45,3.55
50.0,7.04
