Healthcare and Medicine,the Distribution of Healthcare and Medicine,u_shape,negative
Treatment dosage (mg),Survival rate (%)
10.0,53.41
41.94,54.83
73.87,53.42
105.81,58.0
137.74,51.1
169.68,73.46
201.61,70.03
233.55,75.86
265.48,83.95
297.42,76.85
329.35,86.72
361.29,87.4
393.23,86.74
425.16,90.04
457.1,93.17
489.03,93.61
520.97,95.42
552.9,90.36
584.84,92.52
616.77,87.41
648.71,79.14
680.65,100.0
712.58,80.16
744.52,76.12
776.45,80.96
808.39,67.84
840.32,66.63
872.26,67.98
904.19,60.49
936.13,65.66
968.06,57.52
1000.0,50.0
