Education and Academics,the Analysis of Education and Academics,u_shape,negative
Parental education (years),Test scores (score)
0.0,400.0
0.45,490.77
0.91,582.8
1.36,713.39
1.82,838.22
2.27,923.72
2.73,1059.99
3.18,1039.45
3.64,1123.08
4.09,1109.82
4.55,1270.83
5.0,1260.42
5.45,1346.45
5.91,1378.52
6.36,1500.77
6.82,1491.37
7.27,1504.64
7.73,1517.23
8.18,1561.59
8.64,1566.53
9.09,1542.22
9.55,1523.63
10.0,1506.5
10.45,1437.98
10.91,1545.34
11.36,1541.04
11.82,1482.11
12.27,1406.75
12.73,1494.6
13.18,1600.0
13.64,1364.18
14.09,1383.7
14.55,1421.94
15.0,1245.12
15.45,1208.99
15.91,1151.49
16.36,1066.97
16.82,1028.24
17.27,952.04
17.73,928.92
18.18,786.19
18.64,704.54
19.09,594.13
19.55,490.98
20.0,471.99
