Healthcare and Medicine,the Analysis of Healthcare and Medicine,exponential,negative
Patient age (years),Patient satisfaction (rating)
0.0,4.18
1.75,5.0
3.51,4.16
5.26,4.28
7.02,3.52
8.77,3.52
10.53,2.89
12.28,3.09
14.04,3.27
15.79,3.07
17.54,2.52
19.3,2.61
21.05,3.17
22.81,2.26
24.56,2.06
26.32,2.05
28.07,2.09
29.82,2.12
31.58,1.66
33.33,2.35
35.09,1.66
36.84,2.38
38.6,2.09
40.35,2.1
42.11,1.6
43.86,1.57
45.61,1.97
47.37,1.82
49.12,1.42
50.88,2.12
52.63,2.05
54.39,2.37
56.14,2.38
57.89,1.59
59.65,1.26
61.4,1.68
63.16,1.77
64.91,1.53
66.67,1.45
68.42,1.65
70.18,1.42
71.93,1.67
73.68,1.33
75.44,1.43
77.19,2.09
78.95,1.85
80.7,1.94
82.46,1.78
84.21,1.18
85.96,1.89
87.72,2.25
89.47,2.0
91.23,1.64
92.98,1.89
94.74,1.0
96.49,1.96
98.25,1.28
100.0,1.53
