Healthcare and Medicine,the Influence of Healthcare and Medicine,linear,positive
Treatment dosage (mg),Readmission rate (%)
10.0,2.15
23.03,7.02
36.05,2.64
49.08,9.26
62.11,8.94
75.13,9.02
88.16,3.77
101.18,5.09
114.21,7.78
127.24,7.95
140.26,0.96
153.29,15.33
166.32,12.7
179.34,6.58
192.37,0.0
205.39,19.34
218.42,12.11
231.45,12.7
244.47,20.6
257.5,6.27
270.53,15.94
283.55,17.25
296.58,16.13
309.61,8.5
322.63,4.77
335.66,11.05
348.68,17.0
361.71,6.73
374.74,13.52
387.76,11.7
400.79,25.13
413.82,14.73
426.84,23.14
439.87,16.05
452.89,18.25
465.92,20.15
478.95,14.86
491.97,19.24
505.0,15.1
518.03,13.26
531.05,17.04
544.08,10.84
557.11,22.7
570.13,16.81
583.16,16.25
596.18,25.43
609.21,22.83
622.24,18.67
635.26,24.01
648.29,16.84
661.32,26.61
674.34,30.0
687.37,21.27
700.39,11.99
713.42,19.54
726.45,15.35
739.47,26.5
752.5,21.43
765.53,15.39
778.55,24.66
791.58,16.33
804.61,24.0
817.63,20.64
830.66,19.02
843.68,27.21
856.71,29.12
869.74,27.04
882.76,27.37
895.79,26.94
908.82,20.13
921.84,29.28
934.87,27.91
947.89,22.51
960.92,19.88
973.95,23.85
986.97,20.69
1000.0,26.56
