Education and Academics,the Trend of Education and Academics,linear,positive
Parental education (years),Test scores (score)
0.0,745.76
0.44,841.05
0.89,400.0
1.33,939.7
1.78,659.5
2.22,899.09
2.67,556.25
3.11,696.33
3.56,851.66
4.0,966.39
4.44,946.82
4.89,722.08
5.33,1114.02
5.78,625.76
6.22,806.9
6.67,877.09
7.11,818.71
7.56,1204.93
8.0,1081.34
8.44,1092.55
8.89,983.48
9.33,1185.76
9.78,949.7
10.22,1083.54
10.67,999.57
11.11,1305.15
11.56,923.2
12.0,1175.58
12.44,1411.36
12.89,1112.55
13.33,943.43
13.78,1131.07
14.22,1230.11
14.67,1137.72
15.11,1218.92
15.56,1313.82
16.0,1127.59
16.44,1090.41
16.89,1312.61
17.33,1218.21
17.78,934.69
18.22,1163.28
18.67,1152.73
19.11,1397.05
19.56,1092.2
20.0,1600.0
