Technology and Innovation,the Dynamics of Technology and Innovation,linear,positive
Data usage (GB/month),E-commerce sales ($)
1.0,357719745.46
15.07,426064740.19
29.14,580046418.82
43.21,900611132.93
57.28,241715986.5
71.35,265762629.09
85.42,641171205.31
99.49,629050667.21
113.56,469913796.63
127.63,671903241.26
141.7,10000.0
155.77,869267944.42
169.85,433580386.65
183.92,532172114.14
197.99,665304460.1
212.06,381339754.18
226.13,799799662.42
240.2,463838945.32
254.27,510757907.42
268.34,438625324.56
282.41,704359089.57
296.48,404880353.71
310.55,487522025.05
324.62,684823894.52
338.69,809485462.89
352.76,619325038.95
366.83,962706144.62
380.9,730124538.7
394.97,780404415.21
409.04,609765646.28
423.11,288902638.29
437.18,696629036.3
451.25,566943194.45
465.32,309605620.94
479.39,450071074.76
493.46,804410234.78
507.54,412107791.95
521.61,460032692.94
535.68,325160028.6
549.75,912229199.99
563.82,403237340.7
577.89,843746177.56
591.96,723087658.25
606.03,830233531.31
620.1,868149016.81
634.17,513055054.96
648.24,657979977.69
662.31,873526083.72
676.38,755603374.84
690.45,538914939.21
704.52,715613962.01
718.59,596037709.81
732.66,407169630.7
746.73,1000000000.0
760.8,898892493.2
774.87,607930648.65
788.94,341765263.3
803.01,794016932.38
817.08,432212514.58
831.15,595997467.66
845.23,475395991.77
859.3,447129828.66
873.37,673248575.75
887.44,677777924.02
901.51,545021798.32
915.58,753540800.97
929.65,867453656.95
943.72,771302288.01
957.79,780871075.63
971.86,285635694.12
985.93,798212205.99
1000.0,484203173.73
