Healthcare and Medicine,the Relationship of Healthcare and Medicine,linear,negative
BMI (kg/m²),Recovery time_Healthcare (days)
15.0,90.0
15.62,67.34
16.25,89.58
16.88,71.12
17.5,74.39
18.12,74.52
18.75,82.29
19.38,87.65
20.0,82.52
20.62,71.35
21.25,74.47
21.88,65.12
22.5,86.34
23.12,60.4
23.75,47.13
24.38,59.5
25.0,73.09
25.62,64.49
26.25,24.97
26.88,49.02
27.5,51.05
28.12,57.15
28.75,50.63
29.38,24.07
30.0,37.47
30.62,41.33
31.25,23.21
31.88,23.83
32.5,31.91
33.12,34.29
33.75,29.11
34.38,47.13
35.0,26.11
35.62,14.43
36.25,6.91
36.88,30.13
37.5,5.55
38.12,4.54
38.75,1.0
39.38,12.6
40.0,8.23
