Energy and Utilities,the Influence of Energy and Utilities,exponential,negative
Infrastructure age (years),Carbon footprint (tons CO2e/year)
0.0,44.43
0.93,50.0
1.85,34.73
2.78,33.8
3.7,33.52
4.63,25.2
5.56,26.62
6.48,21.29
7.41,23.83
8.33,16.91
9.26,13.95
10.19,19.6
11.11,22.75
12.04,17.48
12.96,13.18
13.89,15.18
14.81,12.06
15.74,10.15
16.67,10.56
17.59,10.65
18.52,7.82
19.44,10.28
20.37,7.54
21.3,8.47
22.22,7.86
23.15,8.92
24.07,11.24
25.0,9.9
25.93,10.27
26.85,10.15
27.78,10.69
28.7,7.87
29.63,9.86
30.56,10.11
31.48,7.87
32.41,1.89
33.33,6.48
34.26,6.78
35.19,1.38
36.11,1.06
37.04,8.36
37.96,2.52
38.89,3.22
39.81,18.85
40.74,5.76
41.67,6.76
42.59,3.18
43.52,12.12
44.44,1.64
45.37,1.0
46.3,3.49
47.22,3.9
48.15,11.36
49.07,10.28
50.0,4.29
