Sports and Fitness,the Interaction of Sports and Fitness,linear,positive
Injury frequency (injuries/year),Win rate (%)
0.0,4.66
0.07,24.04
0.14,48.23
0.21,19.16
0.28,35.67
0.35,0.0
0.42,35.21
0.49,38.04
0.56,25.51
0.63,12.75
0.7,13.19
0.77,42.21
0.85,44.29
0.92,12.31
0.99,17.72
1.06,37.29
1.13,43.92
1.2,18.82
1.27,52.7
1.34,21.61
1.41,49.75
1.48,30.78
1.55,66.93
1.62,35.73
1.69,35.48
1.76,4.12
1.83,28.39
1.9,33.89
1.97,19.89
2.04,31.12
2.11,41.35
2.18,38.25
2.25,18.93
2.32,32.88
2.39,47.55
2.46,51.19
2.54,15.65
2.61,60.59
2.68,54.9
2.75,30.04
2.82,60.4
2.89,50.99
2.96,37.63
3.03,74.89
3.1,89.14
3.17,61.45
3.24,47.61
3.31,50.85
3.38,60.36
3.45,48.51
3.52,58.72
3.59,51.61
3.66,59.99
3.73,56.57
3.8,66.43
3.87,38.74
3.94,90.89
4.01,83.29
4.08,61.92
4.15,88.82
4.23,51.02
4.3,49.43
4.37,67.31
4.44,54.18
4.51,75.29
4.58,100.0
4.65,70.55
4.72,40.24
4.79,64.6
4.86,65.07
4.93,69.55
5.0,62.41
