Retail and Consumer Behavior,the Pattern of Retail and Consumer Behavior,exponential,none
Store size (m³),Return rate (%)
100.0,6.19
252.31,11.23
404.62,0.17
556.92,8.33
709.23,8.0
861.54,11.89
1013.85,11.64
1166.15,5.2
1318.46,10.67
1470.77,16.25
1623.08,10.7
1775.38,14.73
1927.69,15.15
2080.0,9.96
2232.31,10.46
2384.62,10.64
2536.92,19.22
2689.23,20.0
2841.54,17.09
2993.85,6.39
3146.15,6.21
3298.46,17.51
3450.77,13.98
3603.08,7.04
3755.38,7.71
3907.69,6.14
4060.0,12.6
4212.31,3.42
4364.62,13.02
4516.92,7.53
4669.23,11.57
4821.54,11.57
4973.85,10.03
5126.15,15.66
5278.46,11.85
5430.77,11.9
5583.08,8.1
5735.38,14.26
5887.69,4.94
6040.0,8.73
6192.31,0.0
6344.62,7.56
6496.92,8.13
6649.23,11.57
6801.54,13.82
6953.85,11.23
7106.15,6.86
7258.46,12.11
7410.77,8.41
7563.08,2.88
7715.38,9.53
7867.69,0.53
8020.0,7.2
8172.31,15.01
8324.62,12.28
8476.92,7.58
8629.23,16.63
8781.54,7.68
8933.85,6.93
9086.15,15.78
9238.46,16.41
9390.77,11.48
9543.08,19.9
9695.38,10.24
9847.69,7.33
10000.0,6.05
