Marketing and Sales,the Trend of Marketing and Sales,exponential,positive
Website traffic (visits/month),Revenue ($)
1000.0,10000.0
145913.04,473880857.06
290826.09,200771018.49
435739.13,207864740.65
580652.17,107397033.4
725565.22,137992553.77
870478.26,375070347.5
1015391.3,218864307.39
1160304.35,454765521.74
1305217.39,308732424.03
1450130.43,127523313.39
1595043.48,122831524.41
1739956.52,222064095.41
1884869.57,109286950.34
2029782.61,194785282.75
2174695.65,169131519.04
2319608.7,257639109.14
2464521.74,231122494.8
2609434.78,256370099.67
2754347.83,470516123.39
2899260.87,206178573.24
3044173.91,287133549.16
3189086.96,217646593.71
3334000.0,357887161.0
3478913.04,404783269.57
3623826.09,254880521.97
3768739.13,357228465.42
3913652.17,420802294.52
4058565.22,297354631.42
4203478.26,428019954.37
4348391.3,176459245.21
4493304.35,191437336.63
4638217.39,567742590.7
4783130.43,491464498.56
4928043.48,254528527.29
5072956.52,387258933.3
5217869.57,557856141.22
5362782.61,512310805.12
5507695.65,309512664.2
5652608.7,675379224.38
5797521.74,512459663.96
5942434.78,442631901.39
6087347.83,400781372.1
6232260.87,596751084.57
6377173.91,475936502.83
6522086.96,464910504.79
6667000.0,423341327.83
6811913.04,625512491.08
6956826.09,830949281.12
7101739.13,827486034.44
7246652.17,482619958.42
7391565.22,879752494.67
7536478.26,704666962.41
7681391.3,817078709.72
7826304.35,392802245.02
7971217.39,793771404.52
8116130.43,792895893.69
8261043.48,770347650.5
8405956.52,702560021.53
8550869.57,754809695.49
8695782.61,862255046.66
8840695.65,844596176.39
8985608.7,918025481.67
9130521.74,941577265.16
9275434.78,756847867.22
9420347.83,896116588.76
9565260.87,806422022.43
9710173.91,911453862.62
9855086.96,928502926.13
10000000.0,1000000000.0
