Education and Academics,the Interaction of Education and Academics,exponential,positive
Parental education (years),Test scores (score)
0.0,438.3
0.41,419.76
0.82,488.33
1.22,437.08
1.63,412.6
2.04,450.37
2.45,400.0
2.86,497.56
3.27,507.2
3.67,493.53
4.08,510.21
4.49,519.29
4.9,474.02
5.31,460.66
5.71,531.53
6.12,595.99
6.53,572.69
6.94,589.98
7.35,619.74
7.76,602.34
8.16,560.68
8.57,653.25
8.98,618.78
9.39,602.85
9.8,681.56
10.2,734.87
10.61,711.75
11.02,734.51
11.43,760.01
11.84,812.08
12.24,870.9
12.65,786.52
13.06,884.76
13.47,900.43
13.88,911.79
14.29,976.91
14.69,1000.73
15.1,1049.72
15.51,1080.7
15.92,1041.47
16.33,1159.06
16.73,1085.22
17.14,1185.84
17.55,1252.87
17.96,1287.04
18.37,1428.44
18.78,1420.34
19.18,1495.12
19.59,1561.65
20.0,1600.0
