Finance and Economics,the Comparison of Finance and Economics,u_shape,positive
Inflation rate (%),Exchange rate (currency/USD)
-2.0,1.98
-1.85,1.89
-1.7,1.88
-1.54,1.86
-1.39,1.75
-1.24,1.73
-1.09,1.61
-0.94,1.49
-0.78,1.51
-0.63,1.39
-0.48,1.33
-0.33,1.23
-0.18,1.24
-0.03,1.18
0.13,1.13
0.28,1.09
0.43,1.05
0.58,1.05
0.73,0.93
0.89,0.91
1.04,0.84
1.19,0.86
1.34,0.77
1.49,0.78
1.65,0.74
1.8,0.77
1.95,0.69
2.1,0.67
2.25,0.66
2.41,0.62
2.56,0.64
2.71,0.57
2.86,0.58
3.01,0.56
3.16,0.5
3.32,0.56
3.47,0.55
3.62,0.51
3.77,0.53
3.92,0.52
4.08,0.51
4.23,0.5
4.38,0.51
4.53,0.57
4.68,0.57
4.84,0.57
4.99,0.58
5.14,0.5
5.29,0.57
5.44,0.63
5.59,0.65
5.75,0.64
5.9,0.72
6.05,0.69
6.2,0.68
6.35,0.75
6.51,0.79
6.66,0.79
6.81,0.81
6.96,0.82
7.11,0.96
7.27,0.99
7.42,1.02
7.57,1.07
7.72,1.09
7.87,1.12
8.03,1.19
8.18,1.24
8.33,1.3
8.48,1.33
8.63,1.42
8.78,1.45
8.94,1.53
9.09,1.64
9.24,1.66
9.39,1.75
9.54,1.79
9.7,1.86
9.85,1.9
10.0,2.0
