Social Media and Digital Media and Streaming,the Pattern of Social Media and Digital Media and Streaming,linear,negative
Hashtag use count (count/post),Engagement rate (%)
1.0,13.81
1.41,11.94
1.83,18.05
2.24,14.5
2.65,13.37
3.07,6.68
3.48,14.26
3.89,10.5
4.3,13.8
4.72,18.01
5.13,14.17
5.54,20.0
5.96,11.32
6.37,5.38
6.78,10.88
7.2,15.57
7.61,12.04
8.02,13.28
8.43,9.21
8.85,11.15
9.26,15.3
9.67,12.54
10.09,18.81
10.5,16.5
10.91,4.99
11.33,7.45
11.74,17.03
12.15,7.69
12.57,7.81
12.98,11.29
13.39,19.3
13.8,8.39
14.22,14.34
14.63,5.66
15.04,15.67
15.46,14.19
15.87,11.6
16.28,6.28
16.7,10.01
17.11,6.89
17.52,10.8
17.93,4.5
18.35,0.0
18.76,6.48
19.17,3.36
19.59,8.5
20.0,10.03
