Energy and Utilities,the Distribution of Energy and Utilities,exponential,positive
Energy consumption (kWh/month),Service cost ($/month)
1000.0,50.0
26615.38,50.55
52230.77,57.48
77846.15,61.05
103461.54,64.89
129076.92,68.44
154692.31,79.2
180307.69,71.15
205923.08,75.76
231538.46,69.01
257153.85,81.33
282769.23,78.27
308384.62,92.6
334000.0,97.21
359615.38,104.88
385230.77,113.43
410846.15,122.4
436461.54,113.74
462076.92,122.73
487692.31,135.89
513307.69,138.2
538923.08,151.01
564538.46,161.38
590153.85,161.61
615769.23,193.99
641384.62,196.57
667000.0,208.34
692615.38,216.71
718230.77,237.37
743846.15,254.4
769461.54,276.15
795076.92,284.53
820692.31,318.74
846307.69,322.08
871923.08,354.79
897538.46,376.41
923153.85,409.51
948769.23,436.35
974384.62,449.35
1000000.0,500.0
