Technology and Innovation,the Influence of Technology and Innovation,exponential,positive
R&D investment ($),Startup success rate (%)
100000.0,5.0
1380769.23,14.88
2661538.46,11.56
3942307.69,14.24
5223076.92,11.81
6503846.15,13.96
7784615.38,17.1
9065384.62,14.43
10346153.85,16.18
11626923.08,20.06
12907692.31,17.42
14188461.54,18.18
15469230.77,17.02
16750000.0,8.01
18030769.23,20.75
19311538.46,17.05
20592307.69,12.89
21873076.92,24.55
23153846.15,8.63
24434615.38,14.04
25715384.62,15.72
26996153.85,24.28
28276923.08,18.36
29557692.31,17.96
30838461.54,29.54
32119230.77,9.42
33400000.0,12.91
34680769.23,18.24
35961538.46,22.23
37242307.69,22.52
38523076.92,26.15
39803846.15,17.66
41084615.38,17.99
42365384.62,19.7
43646153.85,14.15
44926923.08,24.45
46207692.31,30.43
47488461.54,34.35
48769230.77,19.35
50050000.0,23.57
51330769.23,25.06
52611538.46,28.03
53892307.69,30.48
55173076.92,27.07
56453846.15,25.47
57734615.38,28.5
59015384.62,25.63
60296153.85,30.81
61576923.08,23.58
62857692.31,30.89
64138461.54,29.1
65419230.77,31.95
66700000.0,37.46
67980769.23,26.16
69261538.46,35.04
70542307.69,36.14
71823076.92,34.66
73103846.15,39.02
74384615.38,32.49
75665384.62,34.95
76946153.85,40.77
78226923.08,33.85
79507692.31,26.69
80788461.54,41.24
82069230.77,28.9
83350000.0,41.28
84630769.23,46.27
85911538.46,37.67
87192307.69,40.15
88473076.92,38.88
89753846.15,42.65
91034615.38,48.96
92315384.62,38.53
93596153.85,46.05
94876923.08,48.06
96157692.31,43.63
97438461.54,50.0
98719230.77,48.27
100000000.0,48.62
