Finance and Economics,the Influence of Finance and Economics,linear,positive
GDP growth (%),Exchange rate (currency/USD)
-5.0,1.07
-4.85,0.51
-4.7,0.75
-4.55,0.7
-4.39,0.82
-4.24,0.5
-4.09,0.71
-3.94,0.98
-3.79,0.67
-3.64,1.08
-3.48,0.57
-3.33,0.97
-3.18,1.09
-3.03,0.67
-2.88,1.04
-2.73,1.11
-2.58,1.01
-2.42,0.95
-2.27,0.72
-2.12,1.16
-1.97,0.86
-1.82,0.96
-1.67,0.87
-1.52,0.95
-1.36,1.29
-1.21,0.68
-1.06,1.03
-0.91,1.14
-0.76,0.5
-0.61,0.84
-0.45,0.75
-0.3,0.98
-0.15,0.9
0.0,1.09
0.15,1.31
0.3,1.28
0.45,1.23
0.61,0.85
0.76,0.84
0.91,0.69
1.06,1.04
1.21,1.46
1.36,1.16
1.52,0.88
1.67,0.78
1.82,1.12
1.97,1.51
2.12,0.92
2.27,0.83
2.42,0.56
2.58,0.95
2.73,0.64
2.88,1.04
3.03,1.06
3.18,0.61
3.33,0.9
3.48,1.29
3.64,0.91
3.79,1.37
3.94,1.02
4.09,0.94
4.24,1.58
4.39,0.71
4.55,0.79
4.7,1.18
4.85,1.02
5.0,1.04
5.15,1.2
5.3,1.0
5.45,1.41
5.61,1.48
5.76,1.19
5.91,1.49
6.06,1.06
6.21,1.45
6.36,1.05
6.52,1.11
6.67,0.84
6.82,1.56
6.97,1.15
7.12,1.44
7.27,1.33
7.42,1.48
7.58,1.21
7.73,1.49
7.88,1.54
8.03,1.23
8.18,1.15
8.33,0.96
8.48,0.83
8.64,1.62
8.79,1.66
8.94,1.43
9.09,1.0
9.24,1.56
9.39,1.21
9.55,2.0
9.7,1.38
9.85,0.95
10.0,1.54
