Finance and Economics,the Comparison of Finance and Economics,linear,positive
Unemployment rate (%),Business confidence (index)
2.0,39.12
2.2,84.23
2.39,72.88
2.59,47.91
2.78,37.36
2.98,60.55
3.17,69.83
3.37,77.91
3.57,44.04
3.76,45.12
3.96,41.42
4.15,72.32
4.35,12.55
4.54,53.57
4.74,41.07
4.93,19.48
5.13,32.91
5.33,67.77
5.52,44.03
5.72,49.57
5.91,56.27
6.11,55.79
6.3,64.77
6.5,57.36
6.7,59.73
6.89,41.07
7.09,73.65
7.28,70.35
7.48,88.15
7.67,48.03
7.87,38.52
8.07,74.04
8.26,56.05
8.46,60.72
8.65,7.44
8.85,38.18
9.04,64.74
9.24,74.28
9.43,53.33
9.63,100.0
9.83,60.58
10.02,42.63
10.22,75.49
10.41,40.56
10.61,37.77
10.8,51.22
11.0,56.83
11.2,64.72
11.39,39.94
11.59,48.5
11.78,77.84
11.98,87.75
12.17,0.0
12.37,55.26
12.57,85.51
12.76,63.4
12.96,78.37
13.15,87.3
13.35,54.25
13.54,63.3
13.74,62.94
13.93,65.44
14.13,32.84
14.33,43.43
14.52,79.47
14.72,47.82
14.91,65.03
15.11,79.42
15.3,64.28
15.5,74.01
15.7,69.21
15.89,32.43
16.09,70.65
16.28,73.17
16.48,52.28
16.67,58.51
16.87,52.33
17.07,67.72
17.26,70.77
17.46,62.34
17.65,68.59
17.85,85.17
18.04,71.98
18.24,75.69
18.43,61.88
18.63,81.62
18.83,59.54
19.02,46.52
19.22,95.51
19.41,59.65
19.61,51.75
19.8,76.27
20.0,57.27
