Environmental Science and Ecology,the Comparison of Environmental Science and Ecology,exponential,negative
Rainfall amount (mm/year),Crop yield (tons/hectare)
100.0,10.0
132.76,8.6
165.52,8.04
198.28,8.88
231.03,7.49
263.79,7.88
296.55,6.62
329.31,7.59
362.07,5.85
394.83,7.01
427.59,4.56
460.34,5.08
493.1,6.03
525.86,4.41
558.62,4.91
591.38,4.07
624.14,3.84
656.9,4.48
689.66,3.47
722.41,2.02
755.17,2.76
787.93,4.14
820.69,4.58
853.45,1.42
886.21,2.67
918.97,2.72
951.72,3.85
984.48,3.17
1017.24,3.56
1050.0,4.02
1082.76,3.41
1115.52,3.84
1148.28,2.32
1181.03,2.13
1213.79,2.52
1246.55,1.83
1279.31,3.27
1312.07,3.03
1344.83,2.73
1377.59,3.57
1410.34,1.19
1443.1,2.6
1475.86,2.88
1508.62,1.3
1541.38,1.58
1574.14,3.95
1606.9,2.69
1639.66,1.28
1672.41,2.19
1705.17,1.83
1737.93,1.96
1770.69,2.6
1803.45,2.55
1836.21,2.63
1868.97,1.82
1901.72,3.53
1934.48,2.67
1967.24,3.14
2000.0,1.0
