Marketing and Sales,the Trend of Marketing and Sales,exponential,none
Email open rate (%),Bounce rate (%)
5.0,21.37
5.46,29.82
5.93,31.7
6.39,42.84
6.86,45.33
7.32,53.26
7.78,40.17
8.25,43.86
8.71,43.77
9.18,48.19
9.64,29.91
10.1,31.9
10.57,27.02
11.03,32.7
11.49,49.66
11.96,14.72
12.42,32.5
12.89,43.66
13.35,22.72
13.81,40.48
14.28,23.11
14.74,80.0
15.21,22.69
15.67,25.27
16.13,50.0
16.6,45.68
17.06,31.59
17.53,20.44
17.99,48.82
18.45,30.94
18.92,34.84
19.38,25.21
19.85,29.02
20.31,36.26
20.77,54.77
21.24,22.41
21.7,27.23
22.16,33.18
22.63,35.58
23.09,41.76
23.56,26.11
24.02,23.23
24.48,36.6
24.95,41.71
25.41,31.84
25.88,42.73
26.34,28.72
26.8,24.77
27.27,18.65
27.73,31.46
28.2,43.18
28.66,37.82
29.12,45.83
29.59,48.68
30.05,51.29
30.52,44.46
30.98,48.87
31.44,20.51
31.91,27.57
32.37,28.57
32.84,41.38
33.3,34.13
33.76,27.04
34.23,31.21
34.69,35.09
35.15,40.71
35.62,49.15
36.08,47.4
36.55,22.59
37.01,26.05
37.47,42.29
37.94,40.3
38.4,44.48
38.87,24.74
39.33,51.9
39.79,40.9
40.26,10.0
40.72,33.99
41.19,53.12
41.65,27.72
42.11,38.1
42.58,57.46
43.04,52.71
43.51,37.7
43.97,27.28
44.43,31.12
44.9,26.08
45.36,40.89
45.82,30.06
46.29,42.6
46.75,33.4
47.22,31.27
47.68,42.06
48.14,42.72
48.61,42.41
49.07,19.99
49.54,39.37
50.0,34.41
