Healthcare and Medicine,the Correlation of Healthcare and Medicine,exponential,none
BMI (kg/m²),Survival rate (%)
15.0,74.6
15.62,78.02
16.25,85.06
16.88,71.84
17.5,100.0
18.12,70.01
18.75,61.41
19.38,83.97
20.0,83.43
20.62,72.79
21.25,74.1
21.88,89.03
22.5,50.0
23.12,92.07
23.75,92.98
24.38,82.12
25.0,78.17
25.62,70.59
26.25,84.14
26.88,63.64
27.5,86.64
28.12,77.42
28.75,76.34
29.38,91.41
30.0,74.97
30.62,69.08
31.25,80.12
31.88,79.62
32.5,86.18
33.12,58.35
33.75,73.16
34.38,85.62
35.0,63.08
35.62,74.31
36.25,93.19
36.88,77.51
37.5,94.24
38.12,79.82
38.75,83.08
39.38,79.89
40.0,64.66
