Marketing and Sales,the Pattern of Marketing and Sales,linear,negative
Customer acquisition cost ($),Click-through rate (%)
10.0,9.19
15.44,6.86
20.89,8.76
26.33,6.12
31.78,6.77
37.22,6.65
42.67,5.95
48.11,8.51
53.56,6.62
59.0,5.93
64.44,7.89
69.89,6.39
75.33,8.58
80.78,9.18
86.22,1.83
91.67,4.86
97.11,9.28
102.56,5.32
108.0,8.06
113.44,2.93
118.89,8.41
124.33,7.71
129.78,8.37
135.22,4.86
140.67,7.44
146.11,3.84
151.56,8.13
157.0,4.25
162.44,8.1
167.89,4.43
173.33,7.09
178.78,9.21
184.22,7.51
189.67,7.61
195.11,2.3
200.56,9.86
206.0,8.72
211.44,7.91
216.89,8.41
222.33,6.89
227.78,8.83
233.22,6.87
238.67,6.89
244.11,6.02
249.56,7.25
255.0,5.96
260.44,7.19
265.89,5.35
271.33,6.53
276.78,3.61
282.22,5.73
287.67,7.2
293.11,7.12
298.56,4.13
304.0,7.67
309.44,5.44
314.89,4.11
320.33,8.8
325.78,2.22
331.22,9.05
336.67,6.37
342.11,4.91
347.56,6.17
353.0,5.41
358.44,6.59
363.89,9.0
369.33,3.1
374.78,3.8
380.22,7.59
385.67,8.2
391.11,3.98
396.56,7.98
402.0,7.32
407.44,7.58
412.89,5.04
418.33,6.11
423.78,2.86
429.22,0.1
434.67,10.0
440.11,5.73
445.56,5.7
451.0,4.55
456.44,3.5
461.89,7.71
467.33,1.64
472.78,6.05
478.22,6.07
483.67,7.62
489.11,6.52
494.56,7.18
500.0,2.42
