Technology and Innovation,the Distribution of Technology and Innovation,u_shape,negative
Data usage (GB/month),E-commerce sales ($)
1.0,10000.0
18.84,59645589.88
36.68,173268684.05
54.52,254201853.78
72.36,306196486.63
90.2,258152697.75
108.04,427011146.29
125.88,395609417.34
143.71,457866897.57
161.55,563863175.9
179.39,423028017.95
197.23,606207996.1
215.07,575882246.93
232.91,683892068.62
250.75,744742310.34
268.59,651433900.23
286.43,646333513.14
304.27,721612718.34
322.11,611953563.0
339.95,713562984.13
357.79,755456940.52
375.62,765752363.53
393.46,791300785.48
411.3,869398879.49
429.14,813118310.24
446.98,810978285.83
464.82,818027214.85
482.66,849925587.32
500.5,928350843.5
518.34,945105292.83
536.18,828925497.57
554.02,745506985.8
571.86,1000000000.0
589.7,893493352.85
607.54,859757312.01
625.38,753731179.95
643.21,730741798.67
661.05,988007842.86
678.89,772313486.87
696.73,640901259.27
714.57,648663321.98
732.41,657635756.87
750.25,732095475.68
768.09,511468778.81
785.93,732583709.2
803.77,575693425.1
821.61,613247319.95
839.45,406932727.74
857.29,490722138.63
875.12,409001669.47
892.96,389197719.52
910.8,305741280.0
928.64,401095412.39
946.48,148124639.83
964.32,30084356.36
982.16,167701794.61
1000.0,193692474.39
