Finance and Economics,the Analysis of Finance and Economics,linear,negative
GDP growth (%),Business confidence (index)
-5.0,56.89
-4.66,83.63
-4.32,93.88
-3.98,78.4
-3.64,90.63
-3.3,46.5
-2.95,79.01
-2.61,85.02
-2.27,62.52
-1.93,85.83
-1.59,63.61
-1.25,73.58
-0.91,59.39
-0.57,72.09
-0.23,60.64
0.11,100.0
0.45,37.76
0.8,34.34
1.14,40.08
1.48,47.65
1.82,18.23
2.16,59.73
2.5,21.31
2.84,37.01
3.18,25.11
3.52,45.6
3.86,27.4
4.2,54.74
4.55,41.55
4.89,53.7
5.23,18.35
5.57,17.77
5.91,13.09
6.25,65.05
6.59,44.03
6.93,31.6
7.27,18.78
7.61,25.54
7.95,1.91
8.3,21.81
8.64,6.13
8.98,25.65
9.32,30.06
9.66,0.0
10.0,1.68
