Social Media and Digital Media and Streaming,the Distribution of Social Media and Digital Media and Streaming,linear,negative
Follower count (count),View count (count)
100.0,9039770.99
200098.0,7741678.24
400096.0,6058659.9
600094.0,4680759.47
800092.0,4106626.59
1000090.0,8431899.35
1200088.0,6371543.09
1400086.0,9751165.16
1600084.0,10000000.0
1800082.0,6229390.1
2000080.0,6290016.02
2200078.0,9612897.16
2400076.0,7069759.01
2600074.0,5522185.64
2800072.0,6516125.52
3000070.0,3439134.4
3200068.0,6898203.2
3400066.0,5732450.79
3600064.0,6034866.46
3800062.0,4712490.39
4000060.0,100.0
4200058.0,3216287.17
4400056.0,3710086.36
4600054.0,1871560.18
4800052.0,5990729.46
5000050.0,4234167.87
5200048.0,6433773.41
5400046.0,4263471.44
5600044.0,6269719.22
5800042.0,4400449.51
6000040.0,4826034.54
6200038.0,5578221.06
6400036.0,1643285.95
6600034.0,2142767.07
6800032.0,1924292.95
7000030.0,3282808.87
7200028.0,1790884.17
7400026.0,4048996.46
7600024.0,2996835.6
7800022.0,5493312.67
8000020.0,3707747.68
8200018.0,3037787.08
8400016.0,2475991.63
8600014.0,4001642.91
8800012.0,2968035.45
9000010.0,3549079.1
9200008.0,1018299.58
9400006.0,4051419.35
9600004.0,854285.96
9800002.0,439248.96
10000000.0,763469.89
