Finance and Economics,the Trend of Finance and Economics,u_shape,negative
Interest rate (%),Exchange rate (currency/USD)
0.1,0.69
0.23,0.55
0.36,0.74
0.5,0.61
0.63,0.8
0.76,0.91
0.89,0.77
1.02,1.16
1.16,1.22
1.29,1.03
1.42,1.12
1.55,1.11
1.68,1.2
1.82,1.11
1.95,1.39
2.08,1.5
2.21,1.41
2.34,1.33
2.48,1.69
2.61,1.44
2.74,1.55
2.87,1.63
3.0,1.67
3.14,1.86
3.27,1.63
3.4,1.81
3.53,1.91
3.66,1.67
3.8,1.85
3.93,1.81
4.06,1.88
4.19,1.8
4.32,1.66
4.46,1.71
4.59,1.64
4.72,1.87
4.85,1.61
4.98,1.89
5.12,1.82
5.25,1.85
5.38,1.89
5.51,1.92
5.64,2.0
5.78,1.55
5.91,1.65
6.04,1.68
6.17,1.61
6.3,1.62
6.44,1.71
6.57,1.68
6.7,1.65
6.83,1.71
6.96,1.84
7.1,1.71
7.23,1.7
7.36,1.48
7.49,1.53
7.62,1.67
7.76,1.49
7.89,1.49
8.02,1.1
8.15,1.51
8.28,1.15
8.42,1.15
8.55,1.2
8.68,1.48
8.81,1.26
8.94,1.03
9.08,0.9
9.21,0.84
9.34,0.86
9.47,0.8
9.6,0.78
9.74,0.64
9.87,0.52
10.0,0.5
